datetime,longitude,latitude,DewPointTemperature_Celsius,DryBulbTemperature_Celsius,RelativeHumidity,RainfallAmount_Millimetre,WindDirection,WindGust_MetrePerSecond,WindSpeed_MetrePerSecond,MeanSeaLevelPressure_Hectopascal
2018-07-16 00:00:00,5.542751,52.035966,11.379630,16.990741,69.500000,0.000000,213.000000,0.000000,0.000000,1014.675007
2018-07-16 01:00:00,,,,,,,,,,
2018-07-16 02:00:00,5.542751,52.035966,11.430556,16.333333,72.750000,0.000000,213.000000,0.000000,0.000000,1013.969550
2018-07-16 03:00:00,5.542751,52.035966,11.435185,15.041667,79.000000,0.000000,213.000000,0.000000,0.000000,1013.941333
2018-07-16 04:00:00,5.542751,52.035966,11.581197,15.145299,79.153846,0.000000,213.000000,0.000000,0.000000,1013.989085
2018-07-16 05:00:00,5.542751,52.035966,12.208333,17.731481,70.166667,0.000000,212.416667,0.122936,0.029803,1013.941333
2018-07-16 06:00:00,,,,,,,,,,
2018-07-16 07:00:00,5.542751,52.035966,12.847222,24.722223,47.666667,0.000000,222.083333,0.368807,0.186266,1013.828450
2018-07-16 08:00:00,,,,,,,,,,
2018-07-16 09:00:00,5.542751,52.035966,12.074074,28.097223,37.000000,0.000000,200.916667,0.577426,0.406061,1013.433333
2018-07-16 10:00:00,,,,,,,,,,
2018-07-16 11:00:00,,,,,,,,,,
2018-07-16 12:00:00,,,,,,,,,,
2018-07-16 13:00:00,,,,,,,,,,
2018-07-16 14:00:00,5.542751,52.035966,11.065657,31.904040,27.818182,0.000000,248.000000,0.536447,0.333247,1011.575964
2018-07-16 15:00:00,5.542751,52.035966,10.930556,31.435185,28.250000,0.000000,243.416667,0.912705,0.528996,1011.429750
2018-07-16 16:00:00,5.542751,52.035966,11.023148,30.935184,29.333333,0.000000,268.583333,0.912705,0.678010,1011.204008
2018-07-16 17:00:00,5.542751,52.035966,11.083333,29.986111,31.083333,0.000000,257.833333,0.655658,0.458215,1011.119350
2018-07-16 18:00:00,,,,,,,,,,
2018-07-16 19:00:00,5.542751,52.035966,11.338384,26.106061,39.636364,0.000000,291.454545,0.000000,0.000000,1011.883795
2018-07-16 20:00:00,5.542751,52.035966,11.252137,23.282051,46.692308,0.000000,291.076923,0.000000,0.000000,1012.243755
2018-07-16 21:00:00,5.542751,52.035966,12.416667,22.208333,53.916667,0.000000,288.166667,0.204893,0.122936,1012.643203
2018-07-16 22:00:00,5.542751,52.035966,14.106481,21.731482,61.833333,0.000000,280.833333,0.327829,0.137837,1013.066500
2018-07-16 23:00:00,5.542751,52.035966,14.791667,21.250000,66.666667,0.000000,302.916667,0.000000,0.000000,1012.981840
2018-07-17 00:00:00,5.542751,52.035966,15.930556,20.916667,73.250000,0.000000,293.500000,0.081957,0.052155,1012.445658
2018-07-17 01:00:00,5.542751,52.035966,15.590909,20.444445,73.636364,0.000000,208.818182,0.178816,0.125984,1012.099296
2018-07-17 02:00:00,5.542751,52.035966,15.559524,19.865079,76.214286,0.000000,279.357143,0.035125,0.006386,1012.070706
2018-07-17 03:00:00,5.542751,52.035966,15.050926,18.384259,80.833333,0.000000,280.666667,0.081957,0.040979,1012.304543
2018-07-17 04:00:00,5.542751,52.035966,14.666666,18.199074,79.750000,0.000000,281.000000,0.000000,0.000000,1012.304543
2018-07-17 05:00:00,,,,,,,,,,
2018-07-17 06:00:00,5.542751,52.035966,15.333333,22.074074,65.583333,0.000000,240.666667,0.830748,0.510370,1012.868960
2018-07-17 07:00:00,5.542751,52.035966,15.149573,24.025641,57.615385,0.000000,247.076923,0.722140,0.409213,1013.129446
2018-07-17 08:00:00,5.542751,52.035966,15.149573,25.149573,53.769231,0.000000,274.384615,0.842497,0.584590,1013.415969
2018-07-17 09:00:00,,,,,,,,,,
2018-07-17 10:00:00,,,,,,,,,,
2018-07-17 11:00:00,,,,,,,,,,
2018-07-17 12:00:00,5.542751,52.035966,15.245370,27.745370,46.500000,0.000000,257.000000,1.642869,1.162302,1014.562130
2018-07-17 13:00:00,5.542751,52.035966,15.046296,28.032407,45.166667,0.000000,270.166667,1.784432,1.117598,1014.618568
2018-07-17 14:00:00,5.542751,52.035966,14.995370,27.726852,45.666667,0.000000,247.250000,1.918543,1.307590,1014.703226
2018-07-17 15:00:00,5.542751,52.035966,14.379630,26.731482,46.666667,0.000000,260.583333,1.564637,1.002113,1015.041877
2018-07-17 16:00:00,,,,,,,,,,
2018-07-17 17:00:00,5.542751,52.035966,12.089744,23.683760,48.076923,0.000000,256.384615,2.039187,1.375505,1015.708306
2018-07-17 18:00:00,5.542751,52.035966,12.006944,21.180555,55.812500,0.000000,266.562500,0.715263,0.472185,1016.339994
2018-07-17 19:00:00,5.542751,52.035966,12.407407,19.800926,62.333333,0.000000,269.083333,0.368807,0.178816,1016.735083
2018-07-17 20:00:00,5.542751,52.035966,12.615741,18.236111,69.666667,0.000000,295.000000,0.204893,0.063331,1017.073700
2018-07-17 21:00:00,5.542751,52.035966,12.597222,17.115741,74.666667,0.000000,286.833333,0.000000,0.000000,1017.327685
2018-07-17 22:00:00,5.542751,52.035966,12.530303,16.151515,79.090909,0.000000,286.000000,0.000000,0.000000,1017.579112
2018-07-17 23:00:00,5.542751,52.035966,12.397436,15.705128,81.076923,0.000000,286.000000,0.000000,0.000000,1017.557798
